City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Tamsweg,AT,2021-05-22 23:17:08,47.1281,13.811,48.02,100,100,2.17
160,Mirabad,AF,2021-05-22 23:17:08,30.4362,61.8383,77.92,17,0,12.15
161,Polis,CY,2021-05-22 23:17:08,35.0367,32.4264,64.22,77,30,5.1
162,Mahibadhoo,MV,2021-05-22 23:17:08,3.7833,72.9667,83.53,76,79,17.02
163,Baykit,RU,2021-05-22 23:17:09,61.67,96.37,40.87,97,100,4.97
164,Prince Albert,CA,2021-05-22 23:15:27,53.2001,-105.7677,53.55,50,20,11.5
165,Mineral Wells,US,2021-05-22 23:17:09,32.8085,-98.1128,73.0,94,90,10.36
166,Banjarmasin,ID,2021-05-22 23:15:09,-3.3244,114.591,77.14,91,94,2.35
167,Tocopilla,CL,2021-05-22 23:17:09,-22.092,-70.1979,64.87,74,37,5.35
168,Maharajganj,IN,2021-05-22 23:17:10,27.1333,83.5667,82.44,54,8,1.36
169,Yugorsk,RU,2021-05-22 23:17:10,61.3133,63.3319,57.4,91,91,11.36
170,Hasaki,JP,2021-05-22 23:17:10,35.7333,140.8333,66.29,82,99,15.52
171,Torbay,CA,2021-05-22 23:17:10,47.6666,-52.7314,56.17,85,75,23.02
172,Umm Kaddadah,SD,2021-05-22 23:17:11,13.6017,26.6876,83.32,9,2,14.83
173,Luderitz,NA,2021-05-22 23:17:11,-26.6481,15.1594,67.08,43,19,4.03
174,Santa Maria,BR,2021-05-22 23:14:41,-29.6842,-53.8069,55.85,70,38,13.76
175,Lagoa,PT,2021-05-22 23:17:11,39.05,-27.9833,58.77,63,29,8.7
176,Ginda,IN,2021-05-22 23:17:11,30.6945,78.4932,56.84,55,3,7.27
177,Atambua,ID,2021-05-22 23:17:12,-9.1061,124.8925,73.13,80,69,4.45
178,Agadez,NE,2021-05-22 23:17:12,19.75,10.25,86.68,10,0,7.74
179,Tura,IN,2021-05-22 23:17:12,25.5198,90.2201,77.41,80,99,1.7
180,Touros,BR,2021-05-22 23:17:13,-5.1989,-35.4608,77.9,77,7,13.06
181,Yerbogachen,RU,2021-05-22 23:17:13,61.2767,108.0108,44.83,55,84,3.13
182,Nouadhibou,MR,2021-05-22 23:17:13,20.931,-17.0347,66.07,92,3,16.24
183,Grand Gaube,MU,2021-05-22 23:17:13,-20.0064,57.6608,69.39,76,37,4.0
184,Salalah,OM,2021-05-22 23:15:12,17.0151,54.0924,82.49,83,20,2.3
185,Maputo,MZ,2021-05-22 23:17:14,-25.9653,32.5892,63.23,84,20,4.0
186,Esperance,AU,2021-05-22 23:17:14,-33.8667,121.9,58.1,87,90,10.07
187,Cayenne,GF,2021-05-22 23:17:14,4.9333,-52.3333,78.84,90,20,1.99
188,Norman Wells,CA,2021-05-22 23:17:14,65.282,-126.8329,62.64,39,90,11.5
189,Tamiahua,MX,2021-05-22 23:17:15,21.2667,-97.45,83.64,66,7,12.12
190,Pathein,MM,2021-05-22 23:17:15,16.7833,94.7333,78.24,86,76,15.28
191,Policoro,IT,2021-05-22 23:17:15,40.2115,16.6726,65.57,95,71,3.0
192,Xam Nua,LA,2021-05-22 23:17:15,20.4197,104.0439,70.79,85,67,2.55
193,Corbu,RO,2021-05-22 23:17:16,44.3833,28.65,49.32,71,0,7.9
194,Matipo,BR,2021-05-22 23:17:16,-20.2839,-42.3411,66.42,81,97,3.8
195,Evensk,RU,2021-05-22 23:17:16,61.95,159.2333,40.59,75,23,2.24
196,Pochutla,MX,2021-05-22 23:17:16,15.7432,-96.4661,86.85,54,1,7.78
197,Tiznit,MA,2021-05-22 23:17:17,29.5833,-9.5,73.83,47,63,1.92
198,Changji,CN,2021-05-22 23:17:17,44.0167,87.3167,57.99,41,0,5.1
199,Namatanai,PG,2021-05-22 23:17:17,-3.6667,152.4333,82.49,79,99,1.59
200,Sibiti,CG,2021-05-22 23:17:17,-3.6819,13.3499,69.4,98,100,2.8
201,Santa Cruz Cabralia,BR,2021-05-22 23:17:18,-16.2781,-39.0247,75.43,80,0,8.5
202,Macau,MO,2021-05-22 23:13:54,22.2006,113.5461,86.07,79,40,6.91
203,Castro,BR,2021-05-22 23:17:18,-24.7911,-50.0119,60.84,96,62,6.93
204,Great Yarmouth,GB,2021-05-22 23:17:18,52.6083,1.7305,49.01,91,89,6.46
205,Alofi,NU,2021-05-22 23:17:19,-19.0595,-169.9187,84.09,79,61,9.22
206,Joutseno,FI,2021-05-22 23:17:19,61.118,28.5076,42.85,90,3,7.05
207,Saint Anthony,US,2021-05-22 23:17:19,45.0205,-93.218,86.32,64,75,4.0
208,Airai,TL,2021-05-22 23:17:19,-8.9266,125.4092,60.42,74,50,2.62
209,Honiara,SB,2021-05-22 23:17:16,-9.4333,159.95,83.46,80,94,4.03
210,Porosozero,RU,2021-05-22 23:17:20,62.7191,32.727,43.74,96,100,6.69
211,Hami,CN,2021-05-22 23:17:20,42.8,93.45,55.47,21,1,9.91
212,Lamar,US,2021-05-22 23:17:20,33.6668,-95.5836,73.56,98,90,7.58
213,Palauig,PH,2021-05-22 23:17:21,15.435,119.9045,82.53,74,65,3.49
214,Obo,CF,2021-05-22 23:17:21,5.3998,26.4869,70.45,95,100,4.83
215,Dikson,RU,2021-05-22 23:17:21,73.5069,80.5464,33.94,98,100,17.87
216,Ambilobe,MG,2021-05-22 23:17:21,-13.2,49.05,66.49,85,26,3.29
217,Santa Catarina De Tepehuanes,MX,2021-05-22 23:17:22,25.35,-105.7333,84.0,20,97,21.61
218,Faanui,PF,2021-05-22 23:17:22,-16.4833,-151.75,81.34,69,11,12.15
219,Tigil,RU,2021-05-22 23:17:22,57.8,158.6667,42.49,65,83,4.83
220,Palau,PW,2021-05-22 23:17:22,7.503,134.621,82.36,76,75,5.46
221,Mayya,RU,2021-05-22 23:17:23,61.7333,130.2811,49.32,38,0,8.12
222,Sengiley,RU,2021-05-22 23:17:23,53.9622,48.7944,59.07,97,100,8.23
223,Isangel,VU,2021-05-22 23:17:23,-19.55,169.2667,78.91,68,75,10.47
224,Yellowknife,CA,2021-05-22 23:17:23,62.456,-114.3525,59.29,45,75,3.0
225,Kampene,CD,2021-05-22 23:17:24,-3.6,26.6667,69.78,91,75,0.96
226,Potsdam,DE,2021-05-22 23:17:24,52.3989,13.0657,53.2,76,77,1.01
227,Lakhimpur,IN,2021-05-22 23:17:24,27.95,80.7667,80.71,50,0,5.3
228,Laytown,IE,2021-05-22 23:17:24,53.6819,-6.2392,48.0,87,98,10.25
229,Dongning,CN,2021-05-22 23:17:25,44.0622,131.1207,67.21,68,0,4.07
230,Itarema,BR,2021-05-22 23:17:25,-2.9248,-39.9167,79.41,76,83,13.0
231,San Carlos De Bariloche,AR,2021-05-22 23:17:25,-41.1456,-71.3082,42.55,87,40,6.8
232,Roma,US,2021-05-22 23:17:25,43.2128,-75.4557,77.5,65,97,10.0
233,Bonavista,CA,2021-05-22 23:17:26,48.6499,-53.1147,48.2,72,100,21.65
234,Lerwick,GB,2021-05-22 23:17:26,60.1545,-1.1494,41.0,74,86,7.83
235,Kutum,SD,2021-05-22 23:17:26,14.2,24.6667,76.82,11,3,11.27
236,Nagato,JP,2021-05-22 23:17:26,34.3833,131.2,67.91,72,0,4.72
237,Soltsy,RU,2021-05-22 23:17:27,58.1239,30.3238,49.1,97,98,5.06
238,Ponta Do Sol,PT,2021-05-22 23:17:27,32.6667,-17.1,65.03,74,100,12.06
239,Borgarnes,IS,2021-05-22 23:17:27,64.5383,-21.9206,42.85,70,90,2.51
240,Kwinana,AU,2021-05-22 23:17:27,-32.25,115.7667,54.18,65,98,7.63
241,Cairns,AU,2021-05-22 23:17:28,-16.9167,145.7667,75.15,73,40,9.22
242,Lata,PT,2021-05-22 23:17:28,40.1629,-8.3327,52.05,87,3,1.9
243,San Francisco,US,2021-05-22 23:13:07,37.7749,-122.4194,80.38,67,20,3.0
244,Codrington,AU,2021-05-22 23:17:28,-38.2667,141.9667,52.66,54,83,7.72
245,Waipawa,NZ,2021-05-22 23:17:28,-41.4122,175.5153,54.23,64,100,10.22
246,Dicabisagan,PH,2021-05-22 23:17:29,17.0818,122.4157,81.43,82,79,3.78
247,Maragogi,BR,2021-05-22 23:17:29,-9.0122,-35.2225,76.21,75,11,7.31
248,Chulman,RU,2021-05-22 23:17:29,56.8479,124.9104,39.49,51,100,12.97
249,Chokurdakh,RU,2021-05-22 23:17:29,70.6333,147.9167,27.46,87,100,4.38
250,Naryan-Mar,RU,2021-05-22 23:17:30,67.6713,53.087,50.61,72,53,13.62
251,Sistranda,NO,2021-05-22 23:17:30,63.7256,8.834,55.9,82,96,13.73
252,Yugo-Kamskiy,RU,2021-05-22 23:17:30,57.7053,55.5894,55.42,97,100,1.23
253,Upernavik,GL,2021-05-22 23:12:57,72.7868,-56.1549,29.52,88,98,9.04
254,Te Anau,NZ,2021-05-22 23:17:30,-45.4167,167.7167,45.59,80,31,0.65
255,Adre,TD,2021-05-22 23:17:31,13.4667,22.2,85.06,9,1,17.74
256,Noumea,NC,2021-05-22 23:17:31,-22.2763,166.4572,77.0,99,67,6.67
257,Velsk,RU,2021-05-22 23:17:31,61.0701,42.0983,50.79,91,98,10.45
258,Okato,NZ,2021-05-22 23:17:31,-39.2,173.8833,53.42,68,100,12.01
259,Mwinilunga,ZM,2021-05-22 23:17:32,-11.7358,24.4293,55.08,65,3,4.07
260,Mahebourg,MU,2021-05-22 23:17:32,-20.4081,57.7,69.26,94,75,5.75
261,Sao Filipe,CV,2021-05-22 23:17:32,14.8961,-24.4956,73.27,81,7,8.48
262,Muroto,JP,2021-05-22 23:17:32,33.2833,134.15,68.04,66,0,1.9
263,Rio Grande,BR,2021-05-22 23:17:33,-32.035,-52.0986,57.94,69,29,19.19
264,Ixtapa,MX,2021-05-22 23:17:33,20.7,-105.2,82.22,69,20,13.8
265,Vanavara,RU,2021-05-22 23:17:33,60.34,102.2797,43.97,49,67,3.09
266,Moindou,NC,2021-05-22 23:17:33,-21.6924,165.677,75.15,61,37,7.07
267,Nanortalik,GL,2021-05-22 23:17:33,60.1432,-45.2371,34.66,73,75,7.99
268,Verkhnevilyuysk,RU,2021-05-22 23:17:34,63.4453,120.3167,47.01,40,8,0.96
269,Chenghai,CN,2021-05-22 23:17:34,23.4632,116.768,85.91,74,75,4.47
270,Bauta,CU,2021-05-22 23:17:34,22.9828,-82.5464,80.49,57,20,19.3
271,Mount Isa,AU,2021-05-22 23:13:16,-20.7333,139.5,69.57,46,0,6.91
272,Katsuura,JP,2021-05-22 23:17:34,35.1333,140.3,66.31,80,45,18.3
273,Ketchikan,US,2021-05-22 23:17:35,55.3422,-131.6461,54.07,76,75,10.36
274,Saint-Pierre,RE,2021-05-22 23:17:35,-21.3393,55.4781,69.48,66,90,6.91
275,Kavieng,PG,2021-05-22 23:17:35,-2.5744,150.7967,83.21,76,100,0.38
276,Morro Bay,US,2021-05-22 23:17:35,35.3658,-120.8499,72.48,77,15,4.0
277,Turukhansk,RU,2021-05-22 23:17:36,65.8167,87.9833,41.16,96,100,10.38
278,Tual,ID,2021-05-22 23:17:36,-5.6667,132.75,81.37,79,98,17.31
279,Tygda,RU,2021-05-22 23:17:36,53.1167,126.3333,38.73,96,100,7.0
280,Diamantino,BR,2021-05-22 23:15:00,-14.4086,-56.4461,76.59,79,89,2.84
281,Mayo,US,2021-05-22 23:17:36,38.8876,-76.5119,85.98,54,1,9.89
282,Araouane,ML,2021-05-22 23:17:37,18.9048,-3.5265,94.1,19,40,12.26
283,Kampen,NL,2021-05-22 23:17:37,52.555,5.9111,50.2,90,93,6.44
284,Bilibino,RU,2021-05-22 23:17:37,68.0546,166.4372,32.22,82,94,1.45
