City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Pangai,TO,-19.8,-174.35,77.11,73,40,5.75,scattered clouds
150,Tigil,RU,57.8,158.6667,52.65,41,64,10.69,broken clouds
151,Zeya,RU,53.75,127.2667,55.36,50,100,0.69,overcast clouds
152,Tyrma,RU,50.0833,132.1667,61.54,48,67,5.26,broken clouds
153,Saskylakh,RU,71.9167,114.0833,38.43,71,100,13.96,overcast clouds
154,Kulhudhuffushi,MV,6.6221,73.07,83.77,75,92,23.71,overcast clouds
155,Lompoc,US,34.6391,-120.4579,60.13,80,90,4.61,overcast clouds
156,Maxixe,MZ,-23.8597,35.3472,57.02,88,20,0.0,few clouds
157,Alofi,NU,-19.0595,-169.9187,73.29,100,28,3.44,light rain
158,Ixtapa,MX,20.7,-105.2,78.22,73,1,2.26,clear sky
159,Mount Isa,AU,-20.7333,139.5,76.77,19,1,18.41,clear sky
160,Kununurra,AU,-15.7667,128.7333,89.58,25,55,20.76,broken clouds
161,Te Anau,NZ,-45.4167,167.7167,44.76,92,100,4.16,overcast clouds
162,Ahipara,NZ,-35.1667,173.1667,56.68,59,46,2.64,scattered clouds
163,Grand Forks,US,47.9417,-97.4337,40.93,62,90,9.22,overcast clouds
164,Fuzhou,CN,26.0614,119.3061,85.89,74,100,1.83,moderate rain
165,Upata,VE,8.0086,-62.3989,72.19,93,100,5.86,overcast clouds
166,Elk City,US,35.412,-99.4043,75.88,78,1,11.5,clear sky
167,Stephenville,US,32.2207,-98.2023,77.0,86,1,9.22,clear sky
168,Mehamn,NO,71.0357,27.8492,42.75,61,20,12.66,few clouds
169,Vanavara,RU,60.34,102.2797,52.65,29,4,3.02,clear sky
170,Victoria,HK,22.2855,114.1577,91.45,72,33,8.99,scattered clouds
171,Caravelas,BR,-17.7125,-39.2481,70.63,98,28,4.16,scattered clouds
172,Chenzhou,CN,25.8,113.0333,76.77,89,100,7.14,light rain
173,Namibe,AO,-15.1961,12.1522,72.93,59,0,2.1,clear sky
174,Columbus,US,39.9612,-82.9988,66.54,93,75,1.01,broken clouds
175,Skjervoy,NO,70.0311,20.9714,42.8,78,94,11.21,overcast clouds
176,Te Horo,NZ,-40.8084,175.1233,53.67,76,17,1.01,few clouds
177,Port Lincoln,AU,-34.7333,135.8667,61.23,62,99,8.28,overcast clouds
178,Ingham,US,42.6,-84.3833,60.98,74,1,10.36,clear sky
179,Bethel,US,41.3712,-73.414,69.73,88,100,7.4,moderate rain
180,Aykhal,RU,66.0,111.5,55.9,42,97,9.19,overcast clouds
181,Yulara,AU,-25.2406,130.9889,66.04,30,92,14.97,overcast clouds
182,Lulea,SE,65.5842,22.1547,44.67,57,0,8.05,clear sky
183,Porto Novo,BJ,6.4965,2.6036,80.42,87,98,6.4,overcast clouds
184,Skelleftea,SE,64.7507,20.9528,43.16,65,20,11.32,few clouds
185,Beloha,MG,-25.1667,45.05,66.04,85,2,5.06,clear sky
186,Leningradskiy,RU,69.3833,178.4167,36.25,76,19,5.75,few clouds
187,Takoradi,GH,4.8845,-1.7554,79.0,88,98,7.43,overcast clouds
188,Brownsville,US,25.9018,-97.4975,80.1,89,40,1.99,scattered clouds
189,Aqtobe,KZ,50.2797,57.2072,73.49,35,0,15.66,clear sky
190,Bengkulu,ID,-3.8004,102.2655,89.44,59,65,7.29,broken clouds
191,Mao,ES,39.8885,4.2658,55.96,82,0,5.75,clear sky
192,Guerrero Negro,MX,27.9769,-114.0611,61.29,89,62,11.79,broken clouds
193,Necochea,AR,-38.5473,-58.7368,51.53,72,81,9.19,broken clouds
194,Igarka,RU,67.4667,86.5833,33.96,59,30,11.59,scattered clouds
195,Yarada,IN,17.65,83.2667,98.92,32,75,10.78,broken clouds
196,Iranshahr,IR,27.2025,60.6848,98.94,14,0,6.91,clear sky
197,Kolondieba,ML,11.0882,-6.8926,81.72,59,99,2.48,light rain
198,Butaritari,KI,3.0707,172.7902,82.94,80,77,18.59,light rain
199,Grindavik,IS,63.8424,-22.4338,43.27,81,75,24.94,broken clouds
200,Nuevo Progreso,MX,23.1667,-97.95,80.6,78,4,2.19,clear sky
201,Kishi,NG,9.0833,3.85,75.25,88,89,8.84,overcast clouds
202,Blagoyevo,RU,63.3667,47.9167,44.31,40,73,4.9,broken clouds
203,Makakilo City,US,21.3469,-158.0858,79.12,61,75,6.91,broken clouds
204,Quatre Cocos,MU,-20.2078,57.7625,81.09,78,21,6.13,few clouds
205,Sarangani,PH,5.4033,125.4636,84.45,72,98,11.7,overcast clouds
206,Mecca,SA,21.4267,39.8261,87.15,47,8,8.86,clear sky
207,Tura,IN,25.5198,90.2201,79.52,71,100,5.66,overcast clouds
208,Lamu,KE,-2.2717,40.902,78.35,81,18,12.08,light rain
209,Corner Brook,CA,48.9667,-57.9484,55.56,93,100,17.22,moderate rain
210,Provideniya,RU,64.3833,-173.3,44.71,49,0,24.61,clear sky
211,Lagoa,PT,39.05,-27.9833,58.73,66,100,16.37,overcast clouds
212,Nalut,LY,30.3333,10.85,74.39,32,22,17.94,few clouds
213,Mount Gambier,AU,-37.8333,140.7667,58.53,65,41,12.19,scattered clouds
214,Longyearbyen,SJ,78.2186,15.6401,33.64,80,40,8.05,scattered clouds
215,Hasaki,JP,35.7333,140.8333,61.29,93,100,11.81,light rain
216,Cidreira,BR,-30.1811,-50.2056,55.24,73,80,6.87,broken clouds
217,Nanchang,CN,28.6833,115.8833,80.42,69,100,5.93,light rain
218,Pisco,PE,-13.7,-76.2167,64.45,94,90,5.75,overcast clouds
219,Saint George,US,37.1041,-113.5841,76.95,14,1,1.01,clear sky
220,Tres Arroyos,AR,-38.3739,-60.2798,50.52,65,99,9.17,overcast clouds
221,Kaitangata,NZ,-46.2817,169.8464,42.93,63,100,3.51,overcast clouds
222,Kupang,ID,-10.1667,123.5833,90.18,48,20,23.02,few clouds
223,Batagay-Alyta,RU,67.8006,130.4114,58.39,35,16,5.41,few clouds
224,Kieta,PG,-6.2167,155.6333,77.95,91,100,1.45,moderate rain
225,Mattru,SL,7.6244,-11.8332,74.21,98,92,3.0,overcast clouds
226,Xuanzhou,CN,30.9525,118.7553,80.67,65,99,9.93,overcast clouds
227,Antigonish,CA,45.6169,-61.9986,62.96,89,44,4.0,scattered clouds
228,Alberton,CA,46.8168,-64.0654,59.13,87,51,19.86,broken clouds
229,Rocha,UY,-34.4833,-54.3333,53.87,82,34,11.81,scattered clouds
230,Panzhihua,CN,26.5851,101.7128,71.55,60,100,2.68,overcast clouds
231,Chicama,PE,-7.8447,-79.1469,68.77,85,31,4.47,scattered clouds
232,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.42,80,56,11.18,light rain
233,Sidi Ali,DZ,36.0998,0.4206,62.26,83,100,6.51,overcast clouds
234,Nurota,UZ,40.5614,65.6886,87.89,15,43,3.42,scattered clouds
235,Mill Valley,US,37.906,-122.545,58.14,83,2,7.0,clear sky
236,Cherskiy,RU,68.75,161.3,62.69,31,75,8.86,broken clouds
237,Acobamba,PE,-11.3525,-75.6594,48.0,89,100,3.91,overcast clouds
238,Faanui,PF,-16.4833,-151.75,81.07,70,17,13.22,few clouds
239,Ruston,US,32.5232,-92.6379,73.09,88,1,4.61,clear sky
240,Kaoma,ZM,-14.7833,24.8,46.06,62,0,5.46,clear sky
241,Moerai,PF,-22.4333,-151.3333,76.87,75,10,12.26,clear sky
242,Jaru,BR,-10.4389,-62.4664,71.65,90,5,1.32,clear sky
243,Naze,JP,28.3667,129.4833,72.52,86,99,15.14,overcast clouds
244,Yarovoye,RU,52.9273,78.58,73.74,32,96,17.34,overcast clouds
245,Concordia,AR,-31.393,-58.0209,49.78,100,1,3.36,clear sky
246,Samarai,PG,-10.6167,150.6667,80.13,71,82,14.43,broken clouds
247,Manbij,SY,36.5281,37.9549,77.77,31,0,5.3,clear sky
248,Ouadda,CF,8.0777,22.4007,69.39,89,100,7.54,overcast clouds
249,Burnie,AU,-41.0667,145.9167,55.92,55,9,16.96,clear sky
250,Kodiak,US,57.79,-152.4072,52.65,65,0,3.42,clear sky
251,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,78,89,10.33,overcast clouds
252,Svetlaya,RU,46.5389,138.3297,47.37,76,99,6.87,overcast clouds
253,Acarau,BR,-2.8856,-40.12,77.22,87,46,13.04,scattered clouds
254,Port Hawkesbury,CA,45.6169,-61.3485,63.01,87,1,7.0,clear sky
255,Belaya Gora,RU,68.5333,146.4167,65.01,32,75,14.03,broken clouds
256,Wencheng,CN,33.0559,113.7978,85.39,34,100,14.65,overcast clouds
257,Kamenka,RU,51.3223,42.7678,64.67,59,60,7.07,broken clouds
258,Uvalde,US,29.3669,-99.767,78.19,22,11,15.14,few clouds
259,Cabedelo,BR,-6.9811,-34.8339,74.07,85,63,10.49,broken clouds
260,Gat,IL,31.61,34.7642,76.91,37,0,1.12,clear sky
